ano;data;meta;limite_inferior;limite_superior;efetivo
1999;30/06/1999;8;6;10;8,94
2000;30/09/1999;6;4;8;5,97
2001;31/12/1999;4;2;6;7,67
2002;28/06/2000;3,5;1,5;5,5;12,53
2003;28/06/2001;3,25;1,25;5,25;9,3
2004;27/06/2002;3,75;1,25;6,25;7,6
2005;25/06/2003;4,5;2;7;5,69
2006;30/06/2004;4,5;2,5;6,5;3,14
2007;23/06/2005;4,5;2,5;6,5;4,46
2008;29/06/2006;4,5;2,5;6,5;5,9
2009;26/06/2007;4,5;2,5;6,5;4,31
2010;01/07/2008;4,5;2,5;6,5;5,91
2011;30/06/2009;4,5;2,5;6,5;6,5
2012;22/06/2010;4,5;2,5;6,5;5,84
2013;30/06/2011;4,5;2,5;6,5;5,91
2014;28/06/2012;4,5;2,5;6,5;6,41
2015;28/06/2013;4,5;2,5;6,5;10,67
2016;25/06/2014;4,5;2,5;6,5;6,29
2017;25/06/2015;4,5;3;6;2,95
2018;30/06/2016;4,5;3;6;3,75
2019;29/06/2017;4,25;2,75;5,75;4,31
